1	0
2	0
3	0
3	2
4	0
5	0
6	0
7	0
8	0
9	0
11	0
11	2
11	3
11	10
12	11
13	11
14	11
15	11
17	16
18	16
18	17
19	16
19	17
19	18
20	16
20	17
20	18
20	19
21	16
21	17
21	18
21	19
21	20
22	16
22	17
22	18
22	19
22	20
22	21
23	11
23	12
23	16
23	17
23	18
23	19
23	20
23	21
23	22
24	11
24	23
25	11
25	23
25	24
26	11
26	16
26	24
26	25
27	11
27	23
27	24
27	25
27	26
28	11
28	27
29	11
29	23
29	27
30	23
31	11
31	23
31	27
31	30
32	11
33	11
33	27
34	11
34	29
35	11
35	29
35	34
36	11
36	29
36	34
36	35
37	11
37	29
37	34
37	35
37	36
38	11
38	29
38	34
38	35
38	36
38	37
39	25
40	25
41	24
41	25
42	24
42	25
42	41
43	11
43	26
43	27
44	11
44	28
45	28
47	46
48	11
48	25
48	27
48	47
49	11
49	26
50	24
50	49
51	11
51	26
51	49
52	39
52	51
53	51
54	26
54	49
54	51
55	11
55	16
55	25
55	26
55	39
55	41
55	48
55	49
55	51
55	54
56	49
56	55
57	41
57	48
57	55
58	11
58	27
58	48
58	55
58	57
59	48
59	55
59	57
59	58
60	48
60	58
60	59
61	48
61	55
61	57
61	58
61	59
61	60
62	41
62	48
62	55
62	57
62	58
62	59
62	60
62	61
63	48
63	55
63	57
63	58
63	59
63	60
63	61
63	62
64	11
64	48
64	55
64	57
64	58
64	59
64	60
64	61
64	62
64	63
65	48
65	55
65	57
65	58
65	59
65	60
65	61
65	62
65	63
65	64
66	48
66	58
66	59
66	60
66	61
66	62
66	63
66	64
66	65
67	57
68	11
68	24
68	25
68	27
68	41
68	48
69	11
69	24
69	25
69	27
69	41
69	48
69	68
70	11
70	24
70	25
70	27
70	41
70	58
70	68
70	69
71	11
71	25
71	27
71	41
71	48
71	68
71	69
71	70
72	11
72	26
72	27
73	48
74	48
74	73
75	25
75	41
75	48
75	68
75	69
75	70
75	71
76	48
76	58
76	62
76	63
76	64
76	65
76	66
